model,precision,recall,f1_score,mAP_0.5,mAP_0.5_0.95,fitness
yolo11l.pt,0.9226158685510288,0.8246777566089595,0.870785063026568,0.9038250494083592,0.5560901446052393,0.5908636350855513
yolo11m.pt,0.9047736152886893,0.8658348224089046,0.8846378195267377,0.9228261507087323,0.5562520661365731,0.5929094745937891
yolo11n.pt,0.93252815695348,0.8462183582601759,0.8869202503161052,0.9187826075712346,0.5560146290631474,0.5922914269139562
yolo11s.pt,0.9164004481974974,0.8439024390243903,0.8785816953490798,0.9129336239597918,0.5555057263606159,0.5912485161205335
yolo11x.pt,0.9241540451802452,0.8424251602259984,0.8813559179949749,0.9010507213634064,0.5400054774172531,0.5761100018118686
