model,precision,recall,f1_score,mAP_0.5,mAP_0.5_0.95,fitness
yolo11n.pt,0.013881203839584286,0.31273712737127374,[   0.026583],0.011711789921579327,0.004841652709335994,0.005528666430560327
yolo11s.pt,0.028588873879910447,0.06720867208672086,[   0.040114],0.010962909631060957,0.004275606488897261,0.004944336803113631
yolo11m.pt,0.07172772888098083,0.05203252032520325,[   0.060313],0.019490187235575586,0.009192440304454898,0.010222214997566967
yolo11l.pt,0.03777170002357444,0.053116531165311655,[   0.044149],0.015177797400102258,0.0071670637108251015,0.007968137079752817
yolo11x.pt,0.02611131189013372,0.15663956639566395,[   0.044761],0.017024750325556694,0.008693560315375841,0.009526679316393928
